source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
MEOX1	DLEU7	MEOX1	DLEU7	0.1606	0.3218	0.3113	0.3950	0.0006
MEOX1	DLG5	MEOX1	DLG5	0.4353	0.4749	0.4571	0.5541	0.0000
MEOX1	DLK2	MEOX1	DLK2	0.2774	0.1357	0.1473	0.0636	0.1555
MEOX1	DMD	MEOX1	DMD	0.1581	-0.2369	-0.1921	-0.4508	0.0123
MEOX1	DMGDH	MEOX1	DMGDH	0.2262	-0.1251	-0.1433	-0.0886	0.1909
MEOX1	DMRTA1	MEOX1	DMRTA1	0.1472	-0.0448	-0.0312	-0.1118	0.6407
MEOX1	DMRTC1B	MEOX1	DMRTC1B	0.1506	-0.0956	-0.1259	-0.0734	0.3184
MEOX1	DNAH12	MEOX1	DNAH12	0.1836	-0.0833	-0.0594	-0.0600	0.3845
MEOX1	DNAI4	MEOX1	DNAI4	0.3316	0.0603	0.0203	0.0487	0.5293
MEOX1	DNASE1L1	MEOX1	DNASE1L1	0.1846	0.2005	0.2075	0.0852	0.0349
MEOX1	DNLZ	MEOX1	DNLZ	0.2682	0.1672	0.1860	0.1079	0.0795
MEOX1	DNM1	MEOX1	DNM1	0.1452	0.2380	0.1823	0.1965	0.0119
MEOX1	DNM1P33	MEOX1	DNM1P33	0.1775	-0.0897	-0.0423	-0.0765	0.3492
MEOX1	DNM1P47	MEOX1	DNM1P47	0.1483	-0.1158	-0.0841	-0.0897	0.2261
MEOX1	DNMT3A	MEOX1	DNMT3A	0.1558	0.1339	0.0831	0.0800	0.1611
MEOX1	DOCK1	MEOX1	DOCK1	0.2066	0.4673	0.3674	0.2836	0.0000
MEOX1	DOCK5	MEOX1	DOCK5	0.1944	0.5491	0.5268	0.8603	0.0000
MEOX1	DOK6	MEOX1	DOK6	0.2496	0.4442	0.3802	0.4429	0.0000
MEOX1	DOLPP1	MEOX1	DOLPP1	0.1962	0.2466	0.2294	0.1166	0.0091
MEOX1	DOT1L	MEOX1	DOT1L	0.1757	0.2773	0.2247	0.1213	0.0032
MEOX1	DPH3P1	MEOX1	DPH3P1	0.1545	-0.1239	-0.0911	-0.1124	0.1951
