,x,y
CASC20,-5.4639325,2.998822
CASC22,-5.097372,2.86463
CASC23,-5.1807814,5.725593
CASC6,0.049592957,3.071432
CASC8,-1.9887341,5.1164722
CASC9,3.0738878,2.573418
CASK-AS1,-2.9444854,4.350127
CATIP-AS1,-0.45110887,1.5049887
CATIP-AS2,-4.475974,4.7582746
CAVIN2-AS1,-1.0444285,2.809724
CBARP-DT,-0.9432426,4.314341
CBLL1-AS1,4.509442,1.7054656
CBR1-AS1,2.0227869,1.6404395
CBR3-AS1,5.7685566,3.15403
CBR4-DT,-5.1962233,5.4342756
CCAT2,-3.251218,3.6981745
CCDC13-AS1,0.37785536,3.0321562
CCDC13-AS2,-0.39549804,1.3667471
CCDC140,-4.032276,4.297622
CCDC144NL-AS1,4.874368,2.7442367
CCDC148-AS1,-6.122864,3.969893
CCDC15-DT,3.267136,1.8607172
CCDC18-AS1,6.062894,2.9758563
CCDC183-AS1,4.542368,1.7237749
CCDC197,-4.323459,2.3156724
CCDC26,5.8947444,3.154298
CCDC28A-AS1,2.8458061,1.7590392
CCDC39-AS1,-4.4227533,4.8696394
CCDC54-AS1,-2.599866,3.5096312
CCDC88C-DT,-1.6343367,5.0898466
CCDC90B-AS1,4.581893,2.9668312
CCL3-AS1,-0.9582086,1.640446
CCN2-AS1,-2.2828891,4.572494
CCND2-AS1,2.0439737,2.7069514
CCNO-DT,-0.5560414,4.201576
CCNT2-AS1,5.0336866,2.1079733
CCNY-AS1,4.588683,2.5781748
CCR5AS,1.416265,1.746504
CD101-AS1,1.4343315,2.2920027
CD109-AS1,1.3579996,2.7909095
CD200R1L-AS1,-3.7802384,5.3559546
CD27-AS1,5.5465574,2.3919969
CD2AP-DT,2.6127312,1.6685098
CD2BP2-DT,4.529213,1.7118027
CD300LD-AS1,1.846015,3.1206458
CD44-AS1,2.395572,3.1455548
CD44-DT,0.7475739,2.2331042
CD63-AS1,5.1440854,1.901234
CD81-AS1,0.9400227,2.734221
CDC20-DT,2.1500132,1.8936088
CDC37L1-DT,2.57644,1.8368634
CDC42-AS1,3.8202784,1.9598765
CDC42-IT1,-0.58911866,2.7866213
CDH13-AS1,-6.088945,4.1412487
CDH18-AS1,-5.6202655,3.1738062
CDH23-AS1,-3.8791687,4.4043555
CDH3-AS1,1.5959362,2.6729999
CDH8-AS1,-2.8887944,3.4156246
CDK13-DT,3.123692,1.9384798
CDK5R2-AS1,-3.3134732,4.1359324
CDK6-AS1,0.102037005,3.957453
CDKN2A-DT,-1.5303727,5.1573815
CDKN2B-AS1,5.336967,2.8443394
CDR1,-3.3502882,1.6288661
CDR2-DT,1.0387818,4.308037
CDRT15P3,-3.6825025,1.935212
CDRT7,-5.9490466,3.3956707
CDRT8,-4.9371867,2.513237
CDYL-AS1,-5.4005504,4.9853716
CEACAM16-AS1,2.876771,1.7850386
CEBPA-DT,3.2097826,1.6346354
CEBPB-AS1,4.8155775,2.833351
CECR3,-4.738616,5.731381
CELF2-AS1,0.9633138,1.6070654
CELF2-AS2,-2.8650951,2.5222588
CELF2-DT,2.9760647,3.91903
CENATAC-DT,4.2387834,1.8523058
CENPN-AS1,3.523805,3.4477136
CEP192-DT,-0.32927114,3.8372393
CEP250-AS1,0.5118251,1.4741005
CEP72-DT,-2.0500352,4.6262865
CEP83-DT,2.6287217,1.6493807
CERNA1,2.1708121,2.0090065
CERNA2,3.4467967,2.457505
CERNA3,-1.5181068,4.4258246
CEROX1,4.433782,1.8184189
CERS3-AS1,-3.553045,4.609539
CERS6-AS1,4.1339974,2.2162793
CFAP100-DT,-4.9000587,2.1724632
CFAP20DC-AS1,-2.438994,2.6268957
CFAP20DC-DT,0.51232374,4.504438
CFAP418-AS1,3.0172896,2.1811008
CFAP44-AS1,-5.7619953,2.7776656
CFAP58-DT,1.0764917,1.8946811
CFAP61-AS1,-4.269487,3.9190907
CFAP95-DT,-5.9242063,4.659031
CFLAR-AS1,4.2651043,3.1908333
CFTR-AS1,-5.3334684,4.713174
CHASERR,6.3841443,2.8811982
CHD1-DT,4.916711,2.4147956
CHFR-DT,-0.4907728,4.211518
CHKA-DT,-0.35517648,4.055741
CHKB-DT,4.548172,1.8550135
CHL1-AS1,-3.5951395,2.781232
CHL1-AS2,-2.8020043,3.766467
CHMP1B-AS1,4.8504133,1.9490786
CHMP3-AS1,3.8420327,2.3243434
CHN2-AS1,-1.6636095,2.4371102
CHODL-AS1,-5.4194503,2.9081297
CHRM3-AS1,-3.8044257,3.1897323
CHRM3-AS2,0.56431365,1.475929
CHROMR,6.040641,2.7427244
CHUK-DT,1.6556103,2.509447
CIBAR1-DT,-0.1933173,3.969721
CIRBP-AS1,4.404162,1.8220109
CISTR,-3.7893922,3.2735772
CKAP2-DT,2.5166936,1.7466999
CKMT2-AS1,5.597057,2.5488446
CLASP1-AS1,-0.15406884,3.8144574
CLCA4-AS1,4.8915796,3.210001
CLDN10-AS1,-4.4458385,4.338374
CLDN14-AS1,-2.3893797,4.8520284
CLEC12A-AS1,3.5720654,2.332477
CLIP1-AS1,0.06116148,2.7792604
CLLU1,1.2432078,3.2983704
CLLU1-AS1,-3.880123,3.849975
CLMAT3,1.4151824,2.6488032
CLN8-AS1,5.670701,2.286518
CLRN1-AS1,0.20925039,4.031448
CLSTN2-AS1,-3.7787855,2.9817858
CLYBL-AS1,-5.187221,4.6312346
CLYBL-AS2,-5.3471656,4.0650835
CMKLR2-AS,1.3569257,4.314261
CNIH3-AS1,-4.5302105,3.7241426
CNIH3-AS2,4.3137627,3.1019742
CNN3-DT,4.371828,1.6120762
CNNM3-DT,1.1281317,2.5395002
CNOT10-AS1,-2.0053196,2.636387
CNPY2-AS1,5.1890397,2.2674088
CNTFR-AS1,-2.3915675,3.7864366
CNTN4-AS1,-2.4268055,6.1717777
CNTN4-AS2,-6.5305033,4.6298885
CNTNAP2-AS1,0.2244719,4.554614
CNTNAP5-DT,-2.6417875,3.56802
COA6-AS1,4.15144,1.6681578
COL18A1-AS1,-2.3518143,2.676467
COL18A1-AS2,-2.39545,2.7569935
COL25A1-DT,-4.7856836,3.025521
COL4A2-AS1,-2.1185024,4.589825
COL4A2-AS2,-3.3979194,1.735549
COL5A1-AS1,-3.408881,1.7482146
COL6A2-DT,-3.0127754,4.6854014
COLCA1,4.686238,2.939091
COMETT,-3.6567664,4.6044645
COP1-DT,2.5985558,2.8103733
COPB2-DT,5.019251,2.3046458
COPDA1,-0.98396873,1.5327461
COPG2IT1,3.9377272,2.180501
COPS8-DT,5.1622057,2.9044492
COQ7-DT,-0.35820335,4.265766
CORO1A-AS1,1.1974912,1.38382
COSMOC,1.2797352,2.5748901
COX10-DT,6.0436664,2.6482804
CPB2-AS1,4.615581,2.8297257
CPEB1-AS1,2.7296672,3.9971812
CPEB2-DT,0.7527104,2.9905174
CPLANE1-AS1,2.932364,2.7764099
CPNE2-DT,-4.5115805,4.6556954
CPNE8-AS1,0.111926466,3.7780733
CPS1-IT1,-4.0765023,4.826488
CPVL-AS1,-1.6653374,1.7953974
CPVL-AS2,0.8908559,3.1172593
CREB3L2-AS1,-3.2256477,1.605792
CRIM1-DT,3.2575474,1.555726
CRMA,1.0790365,2.9206593
CRNDE,5.7333198,2.3737955
CRPPA-AS1,-1.6155882,3.2277555
CRTC3-AS1,2.1053495,2.507862
CRYZL2P-SEC16B,3.0476408,1.8065143
CSE1L-DT,-1.2380111,4.0115104
CSGALNACT2-DT,3.3460839,2.2750213
CSMD2-AS1,-4.628442,2.2872038
CSNK1G2-AS1,0.9082802,2.3286123
CSPG4P1Y,-4.00994,2.210918
CSPG4P2Y,-3.9783795,2.18513
CSRP1-AS1,3.1547933,1.7376559
CSRP3-AS1,-3.8788767,5.293198
CSTF3-DT,2.5834265,3.7344716
CT62,-2.6949487,5.045369
CT66,-1.5164974,4.075203
CT69,1.5813925,4.0501575
CT70,2.1072068,2.5805256
CTBP1-AS,4.6776505,2.045842
CTBP1-DT,5.8949776,2.3233275
CTCF-DT,1.7855979,2.4230118
CTDP1-DT,-6.1338797,5.859473
CTDSPL2-DT,-1.2810959,3.7890363
CTNNA1-AS1,-0.7435091,4.5583754
CTNNA2-AS1,-2.7192996,3.7776232
CTNS-AS1,3.5317352,1.7370627
CTTN-DT,3.8613129,2.390453
CTXN2-AS1,-2.754225,3.4995177
CXXC4-AS1,1.8620777,4.1049976
CXXC5-AS1,-1.246942,3.0847838
CYLD-AS1,3.6713147,2.3585372
CYMP-AS1,-3.839169,4.4905486
CYP1B1-AS1,4.9157104,2.8685772
CYP26C1-DT,-4.8414664,2.5224204
CYP2U1-AS1,3.9450111,3.0218894
CYP4A22-AS1,3.71785,3.491001
CYP4F26P,2.7065184,1.74304
CYP51A1-AS1,0.6992623,3.6726115
CYTOR,6.101249,2.7299483
CYYR1-AS1,3.8902173,3.4669957
CZIB-DT,3.9389477,3.56469
DAAM2-AS1,0.7733019,3.156776
DAB1-AS1,-2.9376154,2.7035658
DACT3-AS1,3.1370955,2.058087
DANCR,6.359863,2.865013
DANT1,0.70881736,2.930008
DANT2,5.0552096,2.8114312
DAOA-AS1,-5.632818,2.9231548
DAP-DT,-1.8427304,4.2255883
DAPK1-IT1,-1.7210295,2.5737007
DARS1-AS1,4.6860642,2.9124622
DAXX,6.252745,2.7310565
DBET,1.1522281,2.9448755
DBH-AS1,2.339104,1.9024132
DBX2-AS1,-4.768691,4.6622963
DCAF8-DT,3.7285025,1.860731
DCHS1-AS1,-0.5809534,3.6291575
DCST1-AS1,2.8618999,1.534692
DCTN1-AS1,2.1730807,3.1356153
DCTN6-DT,3.184677,4.4403186
DCUN1D2-AS,0.34328163,2.9732058
DCXR-DT,1.378348,2.8743918
DDC-AS1,-4.197716,2.3058963
DDHD1-DT,-1.5645065,2.093506
DDIT4L-AS1,-4.4263587,4.6940403
DDN-AS1,3.8500447,2.1251137
DDR1-DT,4.393922,3.4482145
