pmcid	pmcidTitle	table	column	description	geneSetSize	nOverlap	oddsRatio	pvalue	adjPvalue	geneSetHash
PMC11723995	Integrated proteomics and scRNA-seq analyses of ovarian cancer reveal molecular subtype-associated cell landscapes and immunotherapy targets	41416_2024_2894_MOESM11_ESM.xlsx	S4B_CPTAC_cluster_gene_features-gene		796	28	9.194433706996522	4.0975142082877543e-20	9.1107057702933e-16	2f7f550c-2716-599e-8499-b0c98fb12d04
PMC10357633	Single-cell RNA sequencing analysis of the temporomandibular joint condyle in 3 and 4-month-old human embryos	13578_2023_1069_MOESM5_ESM.csv	Unnamed_0	Additional file 5	1585	36	5.974505494505495	4.956461458129058e-20	1.071442403788307e-15	9a158f6b-e669-587f-b3c8-b0630226241a
PMC10302540	Overexpressed kinetochore genes are used by cancer cells as genome destabilizers and transformation catalysts	mmc11.xlsx	G1_Positive-Names_of_the_transcripts_with_Gi1_0_015	Table S11	977	30	8.026139674041413	5.894242405503122e-20	1.2397264469185438e-15	cacdda9d-e7f8-5628-9247-81156a44222c
PMC9327377	Polarization disorder of decidual NK cells in unexplained recurrent spontaneous abortion revealed by single-cell transcriptome analysis	12958_2022_980_MOESM2_ESM.xls	Supplement_table_2-gene	Further analysis by Seurat identified a total of 31,11**2**  Additional file 2: Supplement Table 2. Marker genes significantly expressed by each cell cluster	1712	37	5.649083393242272	7.728696048621471e-20	1.5827861040731468e-15	420c5f92-39d3-52d3-9914-96d11703f971
PMC7450550	Constructing cancer patient-specific and group-specific gene networks with multi-omics data	12920_2020_736_MOESM3_ESM.xlsx	LUAD-gene	The average ΔPCC and class label of each gene are available in Additional file **3**  Additional file 3 Average ΔPCC and class label of each gene in 7 types of cancer	1386	34	6.416662038322688	9.252969832824176e-20	1.8463589534490427e-15	b1140038-8422-56bf-8f69-59630a797d2f
PMC10835874	A reliable transcriptomic risk-score applicable to formalin-fixed paraffin-embedded biopsies improves outcome prediction in localized prostate cancer	10020_2024_789_MOESM2_ESM.xls	Table_S16-Unnamed_1		475	23	12.656518218623482	1.6652983635116573e-19	3.239900414900561e-15	af613721-98f8-5075-b35c-369231c9a226
PMC10835874	A reliable transcriptomic risk-score applicable to formalin-fixed paraffin-embedded biopsies improves outcome prediction in localized prostate cancer	10020_2024_789_MOESM2_ESM.xls	Table_S16-Unnamed_3		476	23	12.629928894634778	1.7452432987231976e-19	3.312620765160666e-15	2d461885-dd06-57c5-80e0-d6fd72601d26
PMC9213768	DNA damage to β cells in culture recapitulates features of senescent β cells that accumulate in type 1 diabetes	mmc2.xlsx	Up-_and_Down-regulated_genes-Donor_2	Multimedia component 2	1121	31	7.228298908941192	2.382647242546945e-19	4.3911804277549535e-15	14e79e96-41a8-5139-a6ea-4540f38f61a4
PMC7477933	Complement C7 (C7), a Potential Tumor Suppressor, Is an Immune-Related Prognostic Biomarker in Prostate Cancer (PC)	Table_3.XLSX	diffSig2-Table_S3_Differentially_expressed_genes_DEGs_between_low-stromal_samples_and_high-stromal_samples	stromal-related DEGs were selected, including 316 up-regulated DEGs and 1 down-regulated DEGs (Figures 3B,D, **Table S3**)  Differentially expressed genes (DEGs) between low-stromal samples and high-stromal samples  Click here for additional data file	313	20	16.701892356844432	2.4598125242273637e-19	4.3911804277549535e-15	1c6d3b23-04a2-5f31-a8c1-ac9b8757e0f1
PMC12213963	Decoding Cellular Landscapes: Unravelling Periodontitis and Periapical Periodontitis at the Single-Cell Frontier	mmc7.csv	Unnamed_0		1129	31	7.215425714090006	2.50810541985908e-19	4.3911804277549535e-15	e8f082fb-6be8-5ab3-88ca-3d2e13a1e191
PMC9315307	Comprehensive Analysis of the Aberrance and Functional Significance of Ferroptosis in Gastric Cancer	Table3.XLSX	Subtype_A_vs_subtype_B-ID	Click here for additional data file	2426	42	4.525207685966136	2.539184148968767e-19	4.3911804277549535e-15	4f7eee08-8f00-56ca-a037-b63b78e7b27f
