Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_Reactome_2022.gmt	Assembly And Cell Surface Presentation Of NMDA Receptors R-HSA-9609736	1/49	5.425388e-01	7.853687e-01	1.923135e+00	1.175989e+00	MAPK4
merged_Reactome_2022.gmt	Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889	1/37	4.458665e-01	7.444933e-01	2.557040e+00	2.065412e+00	LPL
merged_Reactome_2022.gmt	Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090	1/113	8.357891e-01	9.526482e-01	8.262451e-01	1.482110e-01	MIRLET7BHG
merged_Reactome_2022.gmt	Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471	2/74	3.271820e-01	7.126118e-01	2.148581e+00	2.400478e+00	FBXW7;MIR3681HG
merged_Reactome_2022.gmt	Asymmetric Localization Of PCP Proteins R-HSA-4608870	2/122	5.774208e-01	8.076393e-01	1.289390e+00	7.081120e-01	FZD2;WNT5A
merged_Reactome_2022.gmt	Attenuation Phase R-HSA-3371568	1/51	5.569299e-01	7.923561e-01	1.846774e+00	1.080946e+00	SERPINH1
merged_Reactome_2022.gmt	Autophagy R-HSA-9612973	4/255	5.757929e-01	8.064096e-01	1.111599e+00	6.136108e-01	MAPK4;PCAT6;HDAC6;MIF-AS1
merged_Reactome_2022.gmt	Axon Guidance R-HSA-422475	17/1036	4.733046e-01	7.527451e-01	1.068802e+00	7.994814e-01	KLF3-AS1;MAPK4;KRTAP5-AS1;MIR9-3HG;MIF-AS1;FGFR1;LINC01833;SEMA4A;MIR210HG;SOS1;PRDM16-DT;PIK3R3;PCAT6;ATP6V0E2-AS1;PLXND1;FOXD2-AS1;PRKCA
merged_Reactome_2022.gmt	Azathioprine ADME R-HSA-9748787	1/41	4.801633e-01	7.527451e-01	2.304000e+00	1.690281e+00	VAV1
merged_Reactome_2022.gmt	BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108	2/51	1.928787e-01	6.301040e-01	3.150790e+00	5.185235e+00	RXRA;BHLHE41
merged_Reactome_2022.gmt	Base Excision Repair R-HSA-73884	2/138	6.444661e-01	8.399978e-01	1.137274e+00	4.996420e-01	MPG;MIF-AS1
merged_Reactome_2022.gmt	Base-Excision Repair, AP Site Formation R-HSA-73929	1/82	7.301547e-01	8.885611e-01	1.142421e+00	3.592902e-01	MPG
merged_Reactome_2022.gmt	Basigin Interactions R-HSA-210991	2/49	1.814419e-01	6.301040e-01	3.283806e+00	5.604865e+00	MAPK4;CAV1
merged_Reactome_2022.gmt	Beta Defensins R-HSA-1461957	2/69	2.980403e-01	7.070871e-01	2.308353e+00	2.794323e+00	TLR2;CCR6
merged_Reactome_2022.gmt	Beta Oxidation Of butanoyl-CoA To acetyl-CoA R-HSA-77352	1/9	1.336723e-01	6.095749e-01	1.099667e+01	2.212931e+01	HADH
merged_Reactome_2022.gmt	Beta Oxidation Of decanoyl-CoA To octanoyl-CoA-CoA R-HSA-77346	1/11	1.608690e-01	6.277387e-01	8.901117e+00	1.626381e+01	HADH
merged_Reactome_2022.gmt	Beta Oxidation Of hexanoyl-CoA To butanoyl-CoA R-HSA-77350	1/9	1.336723e-01	6.095749e-01	1.099667e+01	2.212931e+01	HADH
merged_Reactome_2022.gmt	Beta Oxidation Of lauroyl-CoA To decanoyl-CoA-CoA R-HSA-77310	1/9	1.336723e-01	6.095749e-01	1.099667e+01	2.212931e+01	HADH
merged_Reactome_2022.gmt	Beta Oxidation Of octanoyl-CoA To hexanoyl-CoA R-HSA-77348	1/9	1.336723e-01	6.095749e-01	1.099667e+01	2.212931e+01	HADH
merged_Reactome_2022.gmt	Beta-catenin Independent WNT Signaling R-HSA-3858494	7/282	1.607610e-01	6.277387e-01	1.706282e+00	3.118804e+00	MAPK4;MIF-AS1;GNB4;TCF7;WNT5A;FZD2;PRKCA
merged_Reactome_2022.gmt	Bicarbonate Transporters R-HSA-425381	2/19	3.570459e-02	4.833925e-01	8.927498e+00	2.975067e+01	MAPK4;SLC4A7
merged_Reactome_2022.gmt	Bile Acid And Bile Salt Metabolism R-HSA-194068	3/89	1.667966e-01	6.301040e-01	2.527716e+00	4.527089e+00	CRYZL2P-SEC16B;RXRA;LINC02532
