Feature,Importance
PCA3,2.100915936172363e-10
LINC00235,2.0931245068172137e-10
PGS1,2.071352248547283e-10
LINC01581,2.0691116655070436e-10
LINC00958,2.0618802158592726e-10
TSC22D3,2.0617593620666098e-10
PLA2G2A,2.0575756777091348e-10
PC,2.0555576998611013e-10
UPF3B,2.0287054033235155e-10
B4GALNT4,2.0225708174548386e-10
DHRS7B,2.0200814128175539e-10
ZNF566,2.0183515613929532e-10
ECHS1,2.0166210855842612e-10
ACOXL,2.0157864872298872e-10
HAND2,2.0127777356457176e-10
MUC2,2.0118275091762167e-10
TRPM4,2.0089445112533322e-10
LINC00922,1.997252344730705e-10
PLA2G4E,1.9971924959973312e-10
LINC02986,1.993092060301116e-10
ITPK1,1.9855315658800254e-10
ACOX3,1.972365346090874e-10
CERT1,1.971941126955675e-10
KCNC2,1.9635300076693392e-10
ZNF727,1.9502376407493397e-10
ACAT2,1.9501358466856882e-10
DNMT3A,1.9413795263065914e-10
CASP8,1.9408554294350808e-10
SLC12A4,1.9362912691184253e-10
NSMCE2,1.9348403460827856e-10
MTA1,1.926060598857267e-10
GNG7,1.9217803784734146e-10
NOD1,1.9013868440535287e-10
ST3GAL4,1.8955489429723725e-10
RORB-AS1,1.8941512500675946e-10
NOTCH3,1.8768968630827278e-10
ADA,1.8744472899066083e-10
LAMB1,1.868150093499433e-10
C4A-AS1,1.867724738481758e-10
CBX8,1.8556771403305636e-10
DPH6-DT,1.853302010182678e-10
EOMES,1.8515880332027495e-10
SLCO2B1,1.8440015891993848e-10
LMNTD2-AS1,1.8346048726324225e-10
CORO1A-AS1,1.8339742162118696e-10
CYFIP2,1.8318409294052477e-10
RPS4Y2,1.8279037362963292e-10
PLCB4,1.8183044737393823e-10
MVD,1.8075268508911645e-10
TNFRSF18,1.8056752347110136e-10
KLK2,1.7948906900368624e-10
DRAIC,1.7921606567894615e-10
PDIA3,1.791277715341754e-10
NPY,1.7871861857914298e-10
ITGA2,1.7852030741220659e-10
GCG,1.7846590416309545e-10
LINC00470,1.77400575786683e-10
TARBP1,1.771612183531685e-10
LINC01127,1.7677307282660243e-10
HMMR,1.7522096989628796e-10
MAPK11,1.74932878916752e-10
