source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
FGR	ITPRIPL2	FGR	ITPRIPL2	0.3609	-0.2857	-0.2964	-0.8976	0.0024
FGR	JADE3	FGR	JADE3	0.3279	-0.1454	-0.3112	-0.3144	0.1278
FGR	JAZF1	FGR	JAZF1	0.2641	0.5466	0.5987	0.4549	0.0000
FGR	JHY	FGR	JHY	0.3464	-0.0851	-0.0894	-0.1612	0.3748
FGR	JMJD4	FGR	JMJD4	0.3025	0.3875	0.3592	0.3005	0.0000
FGR	JMJD8	FGR	JMJD8	0.4000	0.4246	0.4738	0.2282	0.0000
FGR	JUNB	FGR	JUNB	0.1446	0.3134	0.2660	0.3387	0.0008
FGR	KANSL1-AS1	FGR	KANSL1-AS1	0.3520	0.4984	0.4842	0.6794	0.0000
FGR	KAT2A	FGR	KAT2A	0.2991	0.3917	0.3984	0.2436	0.0000
FGR	KATNBL1P3	FGR	KATNBL1P3	0.1949	0.1833	0.1611	0.2182	0.0541
FGR	KBTBD11-AS1	FGR	KBTBD11-AS1	0.1510	0.1880	0.1857	0.4601	0.0482
FGR	KCNC3	FGR	KCNC3	0.1536	0.4749	0.3818	0.4550	0.0000
FGR	KCNH2	FGR	KCNH2	0.1445	0.2948	0.3079	0.5476	0.0017
FGR	KCNH7	FGR	KCNH7	0.1905	-0.0559	-0.1175	-0.0671	0.5602
FGR	KCNH8	FGR	KCNH8	0.1579	-0.0093	0.0044	-0.0175	0.9230
FGR	KCNJ10	FGR	KCNJ10	0.1568	-0.0898	-0.0627	-0.1200	0.3486
FGR	KCNJ11	FGR	KCNJ11	0.3006	0.3286	0.3267	0.3449	0.0004
FGR	KCNK5	FGR	KCNK5	0.3882	0.1033	0.0666	0.2183	0.2806
FGR	KCNK9	FGR	KCNK9	0.1542	-0.0784	-0.1589	-0.2312	0.4132
FGR	KCNN4	FGR	KCNN4	0.3534	0.5563	0.5363	0.5084	0.0000
FGR	KCNQ1DN	FGR	KCNQ1DN	0.1966	0.2022	0.2155	0.2787	0.0333
FGR	KCNQ4	FGR	KCNQ4	0.1961	-0.0134	0.0009	-0.0138	0.8889
FGR	KDF1	FGR	KDF1	0.2344	0.2804	0.2876	0.3343	0.0029
FGR	KDM2B	FGR	KDM2B	0.2079	0.6216	0.5939	0.3923	0.0000
FGR	KDM5C	FGR	KDM5C	0.1518	0.0164	-0.0028	0.0081	0.8645
FGR	KDM5D	FGR	KDM5D	0.1746	0.0490	0.2303	0.3636	0.6093
FGR	KDM8	FGR	KDM8	0.2574	0.4180	0.4443	0.2882	0.0000
