source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
CAPN15	TMEM14C	CAPN15	TMEM14C	0.3797	0.5976	0.6303	0.6831	0.0000
CAPN15	TMEM156	CAPN15	TMEM156	0.1720	0.2981	0.2518	0.3512	0.0015
CAPN15	TMEM167AP1	CAPN15	TMEM167AP1	0.4593	-0.0117	0.0812	-0.0285	0.9027
CAPN15	TMEM182	CAPN15	TMEM182	0.2841	0.6200	0.6547	0.7012	0.0000
CAPN15	TMEM19	CAPN15	TMEM19	0.4195	0.5993	0.6616	0.6352	0.0000
CAPN15	TMEM218	CAPN15	TMEM218	0.2851	0.6322	0.6912	0.7193	0.0000
CAPN15	TMEM229B	CAPN15	TMEM229B	0.4458	0.4525	0.5236	0.7835	0.0000
CAPN15	TMEM240	CAPN15	TMEM240	0.2078	0.4083	0.4015	0.7793	0.0000
CAPN15	TMEM253	CAPN15	TMEM253	0.3196	0.1866	0.2507	0.3022	0.0499
CAPN15	TMEM254-AS1	CAPN15	TMEM254-AS1	0.2559	0.1027	0.1018	0.1342	0.2833
CAPN15	TMEM263-DT	CAPN15	TMEM263-DT	0.1968	0.3770	0.4204	0.7150	0.0000
CAPN15	TMEM30A-DT	CAPN15	TMEM30A-DT	0.3139	0.4576	0.5221	0.5558	0.0000
CAPN15	TMEM38A	CAPN15	TMEM38A	0.3488	0.5294	0.6001	0.8532	0.0000
CAPN15	TMEM40	CAPN15	TMEM40	0.1966	0.2682	0.2957	0.4637	0.0044
CAPN15	TMEM54	CAPN15	TMEM54	0.3504	0.3067	0.3000	0.8246	0.0011
CAPN15	TMEM72	CAPN15	TMEM72	0.1789	0.2833	0.3523	0.4795	0.0026
CAPN15	TMEM80	CAPN15	TMEM80	0.3120	0.5275	0.5964	0.6323	0.0000
CAPN15	TMEM9B-AS1	CAPN15	TMEM9B-AS1	0.2783	0.4100	0.4703	0.5660	0.0000
CAPN15	TMLHE	CAPN15	TMLHE	0.3284	0.5024	0.6274	0.4474	0.0000
CAPN15	TMLHE-AS1	CAPN15	TMLHE-AS1	0.3101	0.1199	0.2011	0.1810	0.2101
CAPN15	TMPOP2	CAPN15	TMPOP2	0.2572	0.1867	0.2900	0.3155	0.0498
CAPN15	TMPRSS11A	CAPN15	TMPRSS11A	0.2499	0.1369	0.1593	0.2093	0.1518
CAPN15	TMPRSS4	CAPN15	TMPRSS4	0.2792	-0.0222	-0.0313	-0.0627	0.8168
CAPN15	TMPRSS6	CAPN15	TMPRSS6	0.1518	0.3795	0.4694	0.5078	0.0000
CAPN15	TMSB15B-AS1	CAPN15	TMSB15B-AS1	0.2745	0.3003	0.3936	0.4055	0.0014
CAPN15	TMSB4X	CAPN15	TMSB4X	0.1862	0.5148	0.5732	0.4175	0.0000
CAPN15	TMSB4XP2	CAPN15	TMSB4XP2	0.2242	0.2151	0.2818	0.5167	0.0234
CAPN15	TNFAIP2	CAPN15	TNFAIP2	0.1964	0.2358	0.2445	0.8316	0.0127
CAPN15	TNFAIP8L1	CAPN15	TNFAIP8L1	0.7983	0.6996	0.7218	0.9945	0.0000
CAPN15	TNFAIP8L2	CAPN15	TNFAIP8L2	0.2814	0.4734	0.4920	0.9461	0.0000
CAPN15	TNFSF10	CAPN15	TNFSF10	0.2849	0.4164	0.4964	0.6111	0.0000
